"site_id","site_name","wkt","n_d18o_samples","n_d13c_samples"
267,"Gruta do Casal da Lebre","POINT(-9.2667 39.3)","55","55"
199,"Lynds cave","POINT(146.25 -41.58)","53","53"
162,"Calcite cave (Mt Luxmore, Fiordland)","POINT(167.74 -46.02)","51","51"
340,"Qujia cave","POINT(118.4 35.7)","95","0"
46,"Labyrintgrottan cave","POINT(14.68 66.06)","46","46"
285,"Disbelief cave","POINT(177.52 -38.82)","46","46"
299,"Calabrez","POINT(-5.13 43.45)","42","42"
149,"Arch cave","POINT(-127.07 50.55)","40","40"
256,"Lithophagus cave","POINT(22.6 46.828)","40","40"
284,"Creighton`s cave","POINT(172.47 -40.63)","40","40"
91,"Ursilor cave","POINT(22.5695 46.5537)","39","39"
282,"Wadi Sannur cave","POINT(31.2833 28.6167)","70","0"
287,"Twin Forks cave","POINT(172.48 -40.63)","34","34"
40,"Excentrica cave","POINT(-7.77 37.1)","32","32"
167,"Waiau cave","POINT(167.73 -46)","26","26"
