type,id,lat,lon,tag:access,tag:alt_name,tag:archaeological_site,tag:colour,tag:depth,tag:description,tag:discovery:date,tag:fixme,tag:height,tag:heritage,tag:heritage:operator,tag:historic,tag:historic:civilization,tag:image,tag:image:license,tag:indoor,tag:inscription,tag:inscription:en,tag:inscription:la,tag:inscription:pgl-Latn,tag:level,tag:loc_name,tag:location,tag:material,tag:moved,tag:moved:from,tag:moved_date,tag:moved_from,tag:moved_from:wikidata,tag:moved_to:wikidata,tag:name,tag:name:en,tag:name:ga,tag:note,tag:project,tag:ref,tag:ref:IE:ciic,tag:ref:IE:cpm,tag:ref:IE:nm,tag:ref:IE:smr,tag:ref:IE:ucc,tag:related:wikidata,tag:related:wikipedia,tag:sketchfab,tag:source,tag:source:inscription,tag:source:inscription:pgk-Latn,tag:source:inscription:pgl-Latn,tag:source:ref,tag:source_ref,tag:tourism,tag:url,tag:url:ogham3D,tag:url:sketchfab,tag:website,tag:width,tag:wikidata,tag:wikimedia_commons,tag:wikipedia
node,11955670793,51.8937082,-8.4924454,,,,,,,,,,,,ogham_stone,,,,yes,,,,D[ ]G[ ]TE/QUL[ ]Q... or DRUTIQUILI MAQI MAQI-RODAGNI,0,,,,yes,,,"Ballyknock, Co. Cork",,,UCC 11,,,,,,,,,,,,,,survey,,,information panel,,,,,,,,,,,
node,11955670794,51.8937167,-8.4924146,,,,,,,,,,,,ogham_stone,,,,yes,,,,DOVED/TI [MA]Q[I] LOCARENAS C[ ]U MAQI CULIDOVI,0,,,,yes,,,"Carrigagulla, Co. Cork bog",Q85394128,,UCC 25,,,,,,,,,CO074-147----,,,,,survey,,,information panel,,,,,,https://skfb.ly/oVOqB,,,Q70885734,Category:CIIC 128 (Ogham Stone Concept by RAS Macalister),
node,11955670796,51.8937133,-8.4924269,,,,,,,,,,,,ogham_stone,,,,yes,,,,BOGAI MAQI BIRAC...,0,,,,yes,,,"Ballyknock, Co. Cork",,,UCC 7,,,,,,,,,CO074-164—,7,,,,survey,,,information panel,,,,,,https://skfb.ly/oVMpr,,,Q70885690,Category:CIIC 89 (Ogham Stone Concept by RAS Macalister),
node,11955670797,51.8937116,-8.4924331,,,,,,,,,,,,ogham_stone,,,,yes,,,,ERCAIDANA,0,,,,yes,,,"Ballyknock, Co. Cork",,,UCC 8,,,,,,,,,CO074-163----,,,,,survey,,,information panel,,,,,,https://skfb.ly/oVM7t,,,Q70885692,,
node,11955670798,51.8937099,-8.4924393,,,,,,,,,,,,ogham_stone,,,,yes,,,,GRILAGNI MAQI SCILAGNI,0,,,,yes,,,"Ballyknock, Co. Cork",,,UCC 9,,,,,,,,,,,,,,survey,,,information panel,,,,,,,,,Q70885695,,
node,11966423819,51.8961577,-8.4943171,,,,,,,,,,,,ogham_stone,,,,yes,,,,,0,,,,yes,,,,,,Kilbrittain Fragment,,,,,,,1993.16,,,,,,,survey,,,,,,,,,,,,,,
node,11966430251,51.8960881,-8.4943144,,,,,,,,,,,,ogham_stone,,,,ogham,,,,BECCCDINN MACI RI[T(T)A]VVECASS,0,,,,yes,,,,,,CHUIS/1,,,,,,,G1094,,,,,,,survey,,,information panel,,,,,,https://skfb.ly/oW6RU,,,,,
node,11966441102,51.896151,-8.4942742,,,,,,,,,,,,ogham_stone,,,,yes,,,,BRANADDOV MA[QI] MAQIQOLI MUCOI DOVI[NIAS],0,,,,yes,,,,,,GEARS/1,,,,,,,L.1954.3,,,,,,,survey,,,McManus/1991,,,,,,https://skfb.ly/oW6QR,,,,,
node,12276963607,52.126787,-10.3059796,,,,,,,,,,2,IE:smr,ogham_stone,,,,,MOINENA MAQI OLACON,,,,,,,,yes,,,,,,Ogham Stone CIIC 147. Ballineesteenigh,,,,,,,,,KE053-012002-,,,,,,,,,,,,,,,,,,,
node,12276982960,52.1267635,-10.3060326,,,,,,,,,,,,ogham_stone,,,,,,,,,,,,,,,,,,,Ogham Stone BURNHAM EAST V,,,,,,,,,,,,,,,,,,,,,https://www.megalithicmonumentsofireland.com/COUNTIES/KERRY/BurnhamEast5_OghamStone.html,,,,,,,
node,12661114455,52.5298176,-7.6332085,,,,,,,,check whether it's still here,,,,ogham_stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British war office map,,,,,,,,,,,,,,
way,1209135262,52.163292139999996,-7.46533608,,,souterrain,,,,,separate all ogham stones into nodes,,2,,ogham_stone,,,,,,,,,,,,,,,,,,,Drumlohan Souterrain and Ogham Stones,,,,,,,,154,WA024-033010-;WA024-033013-;WA024-033007-;WA024-033008-;WA024-033017-;WA024-033011-;WA024-033014-;WA024-033006-;WA024-033012-;WA024-033009-;WA024-033015-,,,,,,,,,,,,,,,,,Q1261275,,en:Drumlohan Souterrain and Ogham Stones
