type,id,lat,lon,tag:access,tag:access:conditional,tag:addr:city,tag:alt_name,tag:alt_name:en,tag:alt_name:etymology:wikidata,tag:alt_name:ga,tag:alt_name_1,tag:alt_name_2,tag:amenity,tag:area,tag:barrier,tag:bubbleid,tag:building,tag:check_date,tag:covered,tag:demolished,tag:denomination,tag:description,tag:description1,tag:disused,tag:disused:amenity,tag:disused:man_made,tag:drinkable:cup,tag:drinking_water,tag:fixme,tag:genus,tag:heritage,tag:heritage:operator,tag:heritage:website,tag:historic,tag:holy_well:cures:wikidata,tag:image,tag:intermittent,tag:landuse,tag:leisure,tag:level,tag:loc_name,tag:loc_name:etymology,tag:loc_name:etymology:wikidata,tag:locality,tag:logainm:ref,tag:man_made,tag:mapillary,tag:name,tag:name:1839,tag:name:de,tag:name:en,tag:name:etymology,tag:name:etymology:wikidata,tag:name:etymology:wikipedia,tag:name:ga,tag:name:ie,tag:natural,tag:note,tag:old_name,tag:old_name:etymology:wikidata,tag:operator,tag:patron_day,tag:place_of_worship,tag:pump,tag:ref:IE:niah,tag:ref:IE:nm,tag:ref:IE:smr,tag:religion,tag:saint:name,tag:service_times,tag:sketchfab,tag:source,tag:source:alt_name,tag:source:description,tag:source:name,tag:source:place_of_worship,tag:subject:wikidata,tag:subject:wikipedia,tag:survey:date,tag:tourism,tag:url:sketchfab,tag:was:amenity,tag:was:name,tag:was:natural,tag:was:place_of_worship,tag:was:service_times,tag:water,tag:water_source,tag:website,tag:well:cure,tag:wheelchair,tag:wikidata,tag:wikimedia_commons,tag:wikipedia
node,9018075832,54.0196524,-6.1444287,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,St James Well,,,,,Q43999,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9018125980,52.3267978,-9.7944403,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Brendan's Well,,,,,Q208961,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9020294868,51.4898024,-9.2333785,,,,,,,,,,,,,,,,yes,,roman_catholic,Misinterpreted as St Bartholomew's well on old maps but it is unlikely this Partalán had anything to do with the apostle. Traditionally used by fishermen as a source of drinking water. Reputed to have curative powers - most especially for ailments of the,,,,,,yes,,,2,IE:smr,,yes,,,,,,,,,,,,,,Tobar Pártaláin,,,,,,,,,spring,,,,,May 14,holy_well,,,,CO151-038----,christian,,,,,,,,,,,,attraction,,,,,,,,,,,,,,
node,9021168149,53.0018754,-7.259801,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9023309373,53.0038995,-7.2388423,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Toberacullen,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9023846497,53.3714472,-6.2508398,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint John's Well,,,,,Q40662,,,,spring,not on Sites & Monuments Records (2023),,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9025436722,53.0591678,-7.1735144,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Clash Alick's Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9026858748,52.4101759,-6.5312627,,,,St. David's Well,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint David's Well,,,,,Q331697,,,,spring,,,,,,holy_well,,,,WX032-019002-,christian,,,,,,,,,,,,,,,,,,,,,,,,Q32263869,,
node,9029434501,53.3155695,-6.3963276,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Saint Brigid's Well,,,,,,,,,spring,,,,,,holy_well,,,,DU021-010001-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9029573161,53.0618742,-7.3516721,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,2,IE:smr,,,,,,,,,,,,,,,,Toberlehern,,,,,,,,,spring,,,,,,holy_well,,,,LA012-001----,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9036391559,53.0899174,-7.1911579,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Julian's Well,,,,,,,,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9037217433,53.0762997,-7.1931481,,,,,,,,,,place_of_worship,,,,,,,,roman_catholic,,,,,,,,exact location?,,2,IE:smr,,,,,,,,,,,,,,,,Saint Brigid's Well,,,,,,,,,spring,,,,,,holy_well,,,,LA009-021003-,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9039849540,52.286543,-9.6982996,,,,,,,,,,,,,,,,,,roman_catholic,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday's Well,,,,,Q132,,Tobar Rí an Domhnaigh,,spring,,,,,,holy_well,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
