type,id,version,timestamp,changeset,user,uid,lat,lon,tag:heritage,tag:heritage:operator,tag:historic,tag:name,tag:name:ga,tag:ref:IE:nm,tag:ref:IE:smr,tag:wikidata,tag:wikipedia,tag:sketchfab,tag:tourism,tag:url:sketchfab,tag:material,tag:website,tag:alt_name,tag:inscription:la,tag:source:inscription,tag:wikimedia_commons,tag:note,tag:moved,tag:fixme,tag:name:en,tag:description,tag:inscription,tag:project,tag:source,tag:access,tag:height,tag:image,tag:moved:from,tag:source_ref,tag:width,tag:inscription:en,tag:inscription:pgl-Latn,tag:moved_to:wikidata,tag:location,tag:archaeological_site,tag:historic:civilization,tag:level,tag:depth,tag:source:ref,tag:image:license,tag:indoor,tag:moved_from,tag:ref,tag:ref:IE:ucc,tag:source:inscription:pgl-Latn,tag:loc_name,tag:related:wikipedia,tag:related:wikidata,tag:url:ogham3D,tag:colour,tag:moved_from:wikidata,tag:ref:IE:ciic,tag:moved_date,tag:discovery:date,tag:source:inscription:pgk-Latn,tag:ref:IE:cpm,tag:url
node,11269119004,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1277008,-10.2432032,2,IE:smr,ogham_stone,,,,KE053-033011-,,,,,https://skfb.ly/o7YDD,,,,,,,,,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119005,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1278572,-10.2431079,2,IE:smr,ogham_stone,,,,KE053-033009-,,,,,https://skfb.ly/o7YDI,,,,,,,,,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119006,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1278094,-10.2430595,2,IE:smr,ogham_stone,,,,KE053-033006-,,,,,https://skfb.ly/o7YDW,,,,,,,,yes,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119007,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1277402,-10.2430849,2,IE:smr,ogham_stone,,,,KE053-033012-,,,,,https://skfb.ly/oEyCM,,,,,,,,,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119008,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1278734,-10.2432184,2,IE:smr,ogham_stone,,,,KE053-033007-,,,,,https://skfb.ly/o7YDO,,,,,,,,,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119009,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1277098,-10.2432839,2,IE:smr,ogham_stone,,,,KE053-033013-,,,,,https://skfb.ly/oF8P7,,,,,,,,yes,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,also has a Latin cross on it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119010,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1277724,-10.2431909,2,IE:smr,ogham_stone,,,,KE053-033010-,,,,,https://skfb.ly/oMGSt,,,,,,,,yes,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269119011,3,2024-11-27T14:04:09Z,159661420,geozeisig,66391,52.1277655,-10.2433317,2,IE:smr,ogham_stone,,,,KE053-033005-,,,,,https://skfb.ly/oMGS9,,,,,,,,yes,move to their respective correct location; HEV only says that they're arranged in a circle with one placed centrally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,11269165789,1,2023-10-17T12:54:29Z,142712154,b-unicycling,1713634,52.0744342,-7.8476737,,,ogham_stone,,,,WA029-042003-,,,,,,,,,,,,,,move to exact location,,,"᚛ᚉᚑᚂᚂᚐᚁᚑᚈ ᚋᚒᚉᚖ ᚂᚒᚌᚐ ᚋᚐᚊᚔ ᚂᚑᚁᚐᚉᚉᚑᚅᚐ᚜COLLABOT MUCOI LUGA MAQI LOBACCONA""Of Cóelub of the tribe of Lug, son of Lubchú",,,,,https://ogham.celt.dias.ie/resources/sites/Dromore/266._Dromore_I/266._Dromore_I_thumb.jpg,,,,,,,,,,,,,,,,,,,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Dromore&stoneinfo=inscription&stone=266._Dromore_I,,,,,,,,
node,11269165790,1,2023-10-17T12:54:29Z,142712154,b-unicycling,1713634,52.0743959,-7.8476997,,,ogham_stone,,,,WA029-042006-,,,,,,,,,,,,,,move to exact location,,,᚛ᚋᚓᚇᚒᚄᚔ ᚋᚒᚉᚖ ᚂᚒᚌᚐ᚜ MEDUSI MUCOI LUGA) Medusi of the tribe of Lug,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ogham.celt.dias.ie/stone.php?lang=en&site=Dromore&stone=267._Dromore_II,,,,,,,,
